first_name,company,email,phone,area,address,type,notes
Jesus,Kourtesy Junk Removal,,(305) 432-8972,Miami,"2355 SW 18th St, Miami, FL 33145",independent,Jesus Gonzalez - 10+ years - all South Miami-Dade
Rey,The Waste Masters,,(305) 986-0692,Miami,"14012 SW 140th St, Miami, FL 33186",independent,Rey - 30+ years in waste since 1988
,Gator Junk Removal,,(305) 922-0353,Miami,"7012 SW 103rd Pl, Miami, FL 33173",independent,Instagram/FB active - south Miami-Dade
,On The Go Junk Removal,,(786) 720-5661,Miami,"Miami, FL",independent,Since 2020 - 1000+ jobs - also does moving
,Action Junk Removal,,(305) 748-7764,Miami Lakes,"8004 NW 154th St Ste 336, Miami Lakes, FL 33016",independent,North Miami Aventura Opa-locka
Jayson,HSDO Junk Pros,,(786) 938-6529,Miami,"Miami, FL",independent,Jayson Andino owner - also dumpster rental
,Express Junk Haulers,,(305) 834-0336,Opa-locka,"1869 Opa Locka Blvd, Opa Locka, FL 33054",independent,Same-day - accepts cash Zelle cards
,ROMO Junk Removal,,(786) 224-4093,North Miami Beach,"North Miami Beach, FL",independent,NMB Aventura all Miami-Dade/Broward
,Clear Waste Solutions,clearwastesolutions@gmail.com,(786) 599-1924,Miami-Dade,"Miami, FL",independent,Foreclosure cleanouts + construction debris + dumpster rental
Pedro,PAL Demolition,pedro@paldemolition.com,(786) 328-3717,Miami,"1154 W 35 ST, Miami, FL 33142",demolition,Family-owned demolition + debris removal - also (786) 991-6164
,Thunder Demolition,Info@thunderdemolition.com,(305) 757-9444,Miami,"Miami/Broward/PBC",demolition,Founded 1994 - licensed bonded insured
David,David G Services,info@davigservices.com,(786) 534-9229,Miami,"2540 NW 74th St, Miami, FL 33147",independent,Construction debris + bulk trash + recycling
Bonnie,B&F Estate Sales,bonnie@estatesalesfl.net,(954) 401-2222,Fort Lauderdale,"Broward County, FL",estate cleanout,Staskowski Team - 30+ years - estate liquidation
,SF Free Appliance Removal,info@sffreeapplianceremoval.com,(786) 538-9220,Oakland Park,"Oakland Park, FL",appliance,FREE same-day appliance pickup - eco-friendly recycling
Nathan,Florida Emergency Cleaning,info@floridaemergencycleaning.com,(772) 486-4100,Treasure Coast,"Treasure Coast, FL",foreclosure cleanout,Nathan Todd CEO - 20+ years - 24/7 - REO + biohazard + hoarding
Jorge,Bee Boyz Contractors,beeboyzinc@gmail.com,(954) 483-5533,Fort Lauderdale,"Fort Lauderdale, FL",foreclosure cleanout,Jorge Valencia - 30+ years - foreclosure restoration + debris
,South Florida Junk Removal,sfloridajunk@gmail.com,(954) 614-4919,Fort Lauderdale,"Fort Lauderdale, FL 33308",independent,Homes and businesses in FTL area
,G's Junk Removal,gsjunkllc@gmail.com,(321) 616-7331,Central Florida,"Central FL",independent,Family-owned - foreclosure + construction + estate cleanouts
,Lee Junk Removal,info@leejunkremoval.com,(239) 533-0020,Estero,"Estero, FL",independent,All Lee County + Collier - licensed insured
,Clutter Bee Gone SWFL,clutterbeegonefl@yahoo.com,(239) 285-5544,Naples,"Naples, FL",independent,Family-owned - Lee and Collier Counties
,SW Florida Hauling,ck@southwestfloridahauling.com,(239) 402-4612,Fort Myers,"Fort Myers, FL",independent,LLC - free estimates within 24hrs
,239 Junk,239junk@gmail.com,(239) 790-8904,Fort Myers,"Fort Myers, FL",independent,Collier + Lee Counties
,The BirdNest Group,info@thebirdnestgroup.com,(239) 533-0080,SWFL,"SWFL, FL",independent,Since 2012 - also does moving
,Naples Junk Removal,info@naplesjunkremoval.com,(239) 533-0066,Naples,"5187 Tamiami Trl N Ste 103, Naples, FL 34103",independent,Est 2019 - 24/7
Brandon,Junk Hauling Express,info@jhexpress.com,(239) 776-0018,Naples,"3606 Enterprise Ave Ste 383, Naples, FL 34104",independent,Brandon Louisseize - veteran-owned - est 2019
,Spotless Junk Removal,spotlessjunkremoval1@gmail.com,(239) 675-9006,Naples,"Naples, FL",independent,Naples Bonita Estero Lehigh Cape Coral
,Clean Haul Services,cleanhaulservicesllc@gmail.com,(239) 878-6267,Fort Myers,"Fort Myers, FL",independent,Fort Myers area
,Remove It Pros,admin@removeitpros.com,(239) 333-7678,Naples,"Naples, FL",independent,Also Sarasota - demolition
,VETS Easy Trash,service@vetseasytrash.com,(888) 641-8387,Fort Myers,"Fort Myers, FL",independent,Veteran-owned - dumpster rental too
,Junk Removal JM,support@junkremovaljm.com,(407) 371-1519,Kissimmee,"Kissimmee, FL",independent,Family business est 2022 - 6 counties
,The Junk Boys,junkboysusa@gmail.com,(407) 205-9624,Kissimmee,"St. Cloud/Kissimmee, FL",independent,Locally owned - same-day
,Goodbye Junk Orlando,goodbyejunk18@gmail.com,(321) 356-2295,Orlando,"Orlando, FL",independent,Family-owned - all Orlando
,Junk Monkey Removal,info@junkmonkeyremoval.com,(407) 452-7039,Orlando,"Orlando, FL",independent,Central FL
Jamar,Junk Removal Rangers,info@junkremovalrangers.com,(407) 305-4707,Orlando,"5796 Hoffner Ave, Orlando, FL 32822",independent,Jamar Christian owner
,Loggy's Hauling,Contact@LoggysJunkRemoval.com,(561) 337-7287,Jupiter,"6650 W Indiantown Rd #420, Jupiter, FL",independent,Palm Beach + Martin County
,TrashHelp,Info@trashhelp.com,(561) 316-8668,Martin County,"Martin County, FL",independent,Hobe Sound Indiantown Palm City Stuart
,Jensen Moving & Storage,info@jensenmovingandstorage.com,(772) 334-5787,Martin County,"Martin County, FL",independent,Est 1972 - 4.8 stars - also moving
,Junk Boss,junkbossflinfo@gmail.com,(561) 802-0020,Stuart,"Stuart, FL",independent,Martin County + Palm Beach
,Junk Brothers SWFL,,(239) 309-4408,Cape Coral,"1518 SW 4th Pl, Cape Coral, FL 33991",independent,Family-owned - no email
Kyle,Junk Angel,,(321) 356-1926,Orlando,"741 Timor Ave, Orlando, FL 32801",independent,Kyle Repp owner - no email
,ER Junk Removal,,(239) 980-0899,Cape Coral,"Cape Coral, FL",independent,Lee County - no email
